run_id,solved,total,solve_rate,avg_compute,compute_per_solve,avg_tokens_in,avg_tokens_out,avg_planner_tokens,avg_coder_tokens,avg_reviewer_tokens,avg_value_tokens,avg_tree_nodes,avg_best_depth,avg_duration_s,coder_model,planner_model
A_c1_9b_mcts,15,20,0.75,0.004259472499999998,0.005679296666666664,40795.25,1199.65,878.6,40440.15,676.15,0.0,9.1,7.65,178.49750000000003,ollama/qwen3.5:9b,ollama/qwen3.5:9b
A_c2_9b_mcts,12,20,0.6,0.0026072175,0.0043453625,24977.4,729.85,0.0,25707.25,0.0,0.0,9.0,7.6,96.97600000000001,ollama/qwen3.5:9b,
A_c3_9b_mcts,14,20,0.7,0.0033193650000000003,0.004741950000000001,31582.2,1074.3,762.45,31231.75,662.3,0.0,7.2,5.55,158.20850000000002,ollama/qwen3.5:9b,ollama/qwen3.5:9b
B_c1_rafe_linear,16,20,0.8,0.0016053434999999997,0.0020066793749999993,12747.35,964.85,1351.35,11872.95,487.9,0.0,5.85,4.95,84.1405,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b
B_c2_rafe_linear,12,20,0.6,0.0022805080000000005,0.0038008466666666677,20762.35,1063.2,1114.6,19867.35,843.6,0.0,8.3,7.4,92.14349999999999,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b
B_c3_rafe_linear,16,20,0.8,0.0020698970000000002,0.00258737125,18135.55,1111.55,1149.4,17420.4,677.3,0.0,8.2,7.2,93.297,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b
C_c1_mixed_mcts,17,20,0.85,0.0035675820000000006,0.004197155294117648,34020.3,1719.6,1547.5,33576.4,616.0,0.0,7.55,5.2,128.613,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b
C_c2_mixed_mcts,14,20,0.7,0.0044032540000000005,0.006290362857142858,43185.15,1951.15,1492.3,42810.3,833.7,0.0,9.5,6.7,149.327,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b
C_c3_mixed_mcts,15,20,0.75,0.0039807005,0.005307600666666666,39030.85,1921.75,1182.8,39012.35,757.45,0.0,9.75,6.5,130.09150000000002,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b
D_c1_mixed_value,14,20,0.7,0.004040010500000001,0.005771443571428573,36692.85,1504.15,1333.15,36074.6,789.25,3297.25,8.05,6.05,205.2225,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b
D_c2_mixed_value,14,20,0.7,0.003917121500000001,0.005595887857142858,34366.05,1569.3,1337.6,33691.15,906.6,3390.15,9.1,7.25,204.18250000000006,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b
E_c1_mixed_hindsight,17,20,0.85,0.0033332339999999996,0.003921451764705882,29243.4,1409.9,1377.7,28715.65,559.95,2796.4,6.9,4.95,172.782,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b
E_c2_mixed_hindsight,12,20,0.6,0.0033710255000000008,0.005618375833333335,29532.7,1440.85,1152.1,29083.9,737.55,2822.45,7.45,5.9,175.428,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b
F_c1_9b_120b_planner,12,20,0.6,0.004145297500000001,0.006908829166666668,34394.05,1707.95,1642.8,33651.2,808.0,0.0,8.1,6.8,486.7914999999999,ollama/qwen3.5:9b,openai/openai/gpt-oss-120b
F_c2_9b_120b_planner,14,20,0.7,0.004134420000000001,0.005906314285714287,32932.5,1935.55,1725.95,31987.7,1154.4,0.0,7.6,6.25,248.094,ollama/qwen3.5:9b,openai/openai/gpt-oss-120b
G_c1_9b_hindsight,15,20,0.75,0.0029306350000000004,0.003907513333333334,27950.65,903.8,839.75,27462.95,551.75,0.0,7.75,6.75,133.344,ollama/qwen3.5:9b,ollama/qwen3.5:9b
G_c2_9b_hindsight,16,20,0.8,0.003039270000000001,0.003799087500000001,28817.55,1050.1,798.6,28567.55,501.5,0.0,8.0,6.55,164.60249999999996,ollama/qwen3.5:9b,ollama/qwen3.5:9b
H_c1_9b_selfeval,14,20,0.7,0.003909947500000001,0.005585639285714287,33528.25,1190.15,877.35,33099.95,741.1,3601.8,8.35,7.2,560.834,ollama/qwen3.5:9b,ollama/qwen3.5:9b
H_c2_9b_selfeval,14,20,0.7,0.003933580000000001,0.005619400000000002,33662.9,1126.8,803.25,33296.95,689.5,3783.95,9.55,7.85,737.5075000000003,ollama/qwen3.5:9b,ollama/qwen3.5:9b
I_c1_sweSearch_9b,15,20,0.75,0.0048541750000000005,0.006472233333333334,42532.15,1319.05,878.6,42305.85,666.75,3835.0,9.3,8.2,724.484,ollama/qwen3.5:9b,ollama/qwen3.5:9b
I_c2_sweSearch_9b,14,20,0.7,0.002818579999999999,0.004026542857142856,24137.55,856.65,798.6,23605.5,590.1,2621.65,7.3,6.3,851.8749999999998,ollama/qwen3.5:9b,ollama/qwen3.5:9b
J_c1_30b_sweSearch,15,20,0.75,0.004303871999999999,0.005738495999999999,44318.4,1294.85,826.95,44220.7,565.6,3911.15,9.3,8.25,140.47499999999997,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/Qwen/Qwen3-VL-30B-A3B-Instruct
J_c2_30b_sweSearch,12,20,0.6,0.004191546,0.0069859100000000006,41875.65,1627.65,714.3,42040.5,748.5,3808.4,9.2,6.6,178.80599999999998,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/Qwen/Qwen3-VL-30B-A3B-Instruct
K_c1_minimal_sweSearch,11,20,0.55,0.0031073000000000008,0.0056496363636363645,25725.0,496.75,0.0,26221.75,0.0,4370.75,10.25,9.25,388.28049999999996,ollama/qwen3.5:9b,
K_c2_minimal_sweSearch,11,20,0.55,0.0023087325000000006,0.0041976954545454555,19073.15,429.5,0.0,19502.65,0.0,3194.6,8.45,7.5,334.4045,ollama/qwen3.5:9b,
